TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T-1001,2026-07-01,Laptop,Electronics,North,Online,1,55000.00,55000.00,UPI,C-501
T-1002,2026-07-01,Headphones,Electronics,West,Offline,2,2500.00,5000.00,Cash,C-502
T-1003,2026-07-02,Shirt,Apparel,East,Online,3,800.00,2400.00,"Credit Card",C-503
T-1004,2026-07-02,"Coffee Maker","Home Decor",South,Offline,1,3500.00,3500.00,"Net Banking",C-504
T-1005,2026-07-03,"Running Shoes",Footwear,North,Online,1,4200.00,4200.00,UPI,C-505
T-1006,2026-07-03,"Desk Lamp","Home Decor",West,Online,2,1200.00,2400.00,"Credit Card",C-506
T-1007,2026-07-04,Smartphone,Electronics,East,Online,1,25000.00,25000.00,"Net Banking",C-507
T-1008,2026-07-04,Jeans,Apparel,South,Offline,2,1500.00,3000.00,Cash,C-508
T-1009,2026-07-05,"Water Bottle",Accessories,North,Offline,5,300.00,1500.00,UPI,C-509
T-1010,2026-07-05,Backpack,Accessories,West,Online,1,1800.00,1800.00,"Credit Card",C-510
T-1011,2026-07-06,"Bluetooth Speaker",Electronics,East,Offline,1,3000.00,3000.00,Cash,C-511
T-1012,2026-07-06,T-Shirt,Apparel,South,Online,4,500.00,2000.00,UPI,C-512
T-1013,2026-07-07,"Wall Clock","Home Decor",North,Online,1,900.00,900.00,"Net Banking",C-513
T-1014,2026-07-07,Watch,Accessories,West,Offline,1,4500.00,4500.00,"Credit Card",C-514
T-1015,2026-07-08,Keyboard,Electronics,East,Online,1,1200.00,1200.00,UPI,C-515
T-1016,2026-07-08,Socks,Apparel,South,Offline,3,200.00,600.00,Cash,C-516
T-1017,2026-07-09,Mouse,Electronics,Online,North,2,600.00,1200.00,"Credit Card",C-517
T-1018,2026-07-09,Sunglasses,Accessories,West,Online,1,2000.00,2000.00,"Net Banking",C-518
T-1019,2026-07-10,Toaster,"Home Decor",East,Offline,1,2200.00,2200.00,UPI,C-519
T-1020,2026-07-10,"Formal Shoes",Footwear,South,Online,1,3000.00,3000.00,"Credit Card",C-520
T-1021,2026-07-11,Tablet,Electronics,North,Online,1,20000.00,20000.00,UPI,C-521
T-1022,2026-07-11,Jacket,Apparel,West,Offline,1,2500.00,2500.00,Cash,C-522
T-1023,2026-07-12,Curtains,"Home Decor",East,Online,2,1200.00,2400.00,"Credit Card",C-523
T-1024,2026-07-12,Belt,Accessories,South,Offline,1,500.00,500.00,"Net Banking",C-524
T-1025,2026-07-13,Sandals,Footwear,North,Online,2,800.00,1600.00,UPI,C-525
T-1026,2026-07-13,Monitor,Electronics,West,Online,1,12000.00,12000.00,"Credit Card",C-526
T-1027,2026-07-14,"Mixer Grinder","Home Decor",East,Offline,1,3200.00,3200.00,Cash,C-527
T-1028,2026-07-14,Sweater,Apparel,South,Online,1,1500.00,1500.00,"Net Banking",C-528
T-1029,2026-07-15,"Yoga Mat",Accessories,North,Offline,1,700.00,700.00,UPI,C-529
T-1030,2026-07-15,Printer,Electronics,West,Online,1,9500.00,9500.00,"Credit Card",C-530
T-1031,2026-07-16,Pillow,"Home Decor",East,Offline,2,400.00,800.00,Cash,C-531
T-1032,2026-07-16,Sneakers,Footwear,South,Online,1,3500.00,3500.00,UPI,C-532
T-1033,2026-07-17,Wallet,Accessories,North,Online,1,1200.00,1200.00,"Net Banking",C-533
T-1034,2026-07-17,"Formal Shirt",Apparel,West,Offline,2,1100.00,2200.00,"Credit Card",C-534
T-1035,2026-07-18,Mousepad,Electronics,East,Online,3,200.00,600.00,UPI,C-535
T-1036,2026-07-18,Trousers,Apparel,South,Offline,1,1800.00,1800.00,Cash,C-536
T-1037,2026-07-19,Fan,"Home Decor",North,Online,1,2500.00,2500.00,"Net Banking",C-537
T-1038,2026-07-19,Cap,Accessories,West,Offline,2,300.00,600.00,UPI,C-538
T-1039,2026-07-20,"Hard Drive",Electronics,East,Online,1,4500.00,4500.00,"Credit Card",C-539
T-1040,2026-07-20,"Formal Shoes",Footwear,South,Offline,1,3200.00,3200.00,Cash,C-540
T-1041,2026-07-21,Earbuds,Electronics,North,Online,1,3500.00,3500.00,UPI,C-541
T-1042,2026-07-21,Slipper,Footwear,West,Offline,2,400.00,800.00,Cash,C-542
T-1043,2026-07-22,"Bed Sheet","Home Decor",East,Online,1,1500.00,1500.00,"Credit Card",C-543
T-1044,2026-07-22,Handbag,Accessories,South,Offline,1,2200.00,2200.00,"Net Banking",C-544
T-1045,2026-07-23,"Smart Watch",Electronics,North,Online,1,4500.00,4500.00,UPI,C-545
T-1046,2026-07-23,"Formal Pants",Apparel,West,Online,1,1900.00,1900.00,"Credit Card",C-546
T-1047,2026-07-24,Iron,"Home Decor",East,Offline,1,2800.00,2800.00,Cash,C-547
T-1048,2026-07-24,T-Shirt,Apparel,South,Online,3,600.00,1800.00,"Net Banking",C-548
T-1049,2026-07-25,Sunglasses,Accessories,North,Offline,1,1500.00,1500.00,UPI,C-549
T-1050,2026-07-25,Router,Electronics,West,Online,1,1800.00,1800.00,"Credit Card",C-550
T-1051,2026-07-26,Cushion,"Home Decor",East,Offline,4,300.00,1200.00,Cash,C-551
T-1052,2026-07-26,"Sports Shoes",Footwear,South,Online,1,2800.00,2800.00,UPI,C-552
T-1053,2026-07-27,Keychain,Accessories,North,Online,2,100.00,200.00,"Net Banking",C-553
T-1054,2026-07-27,Kurta,Apparel,West,Offline,1,1600.00,1600.00,"Credit Card",C-554
T-1055,2026-07-28,Cable,Electronics,East,Online,2,250.00,500.00,UPI,C-555
T-1056,2026-07-28,Shorts,Apparel,South,Offline,2,700.00,1400.00,Cash,C-556
T-1057,2026-07-29,Blender,"Home Decor",North,Online,1,3500.00,3500.00,"Net Banking",C-557
T-1058,2026-07-29,Watch,Accessories,West,Offline,1,5000.00,5000.00,UPI,C-558
T-1059,2026-07-30,Monitor,Electronics,East,Online,1,15000.00,15000.00,"Credit Card",C-559
T-1060,2026-07-30,"Casual Shoes",Footwear,South,Offline,1,2200.00,2200.00,Cash,C-560
T-1061,2026-07-01,Keyboard,Electronics,North,Online,1,1500.00,1500.00,"Credit Card",C-561
T-1062,2026-07-01,Socks,Apparel,West,Offline,4,150.00,600.00,Cash,C-562
T-1063,2026-07-02,"Table Lamp","Home Decor",East,Online,1,1100.00,1100.00,UPI,C-563
T-1064,2026-07-02,Belt,Accessories,South,Offline,2,450.00,900.00,"Net Banking",C-564
T-1065,2026-07-03,Headphones,Electronics,North,Online,1,2800.00,2800.00,"Credit Card",C-565
T-1066,2026-07-03,"Formal Shirt",Apparel,West,Online,2,1200.00,2400.00,UPI,C-566
T-1067,2026-07-04,"Pressure Cooker","Home Decor",East,Offline,1,3000.00,3000.00,Cash,C-567
T-1068,2026-07-04,"Running Shoes",Footwear,South,Online,1,3800.00,3800.00,"Net Banking",C-568
T-1069,2026-07-05,Backpack,Accessories,North,Offline,1,1900.00,1900.00,UPI,C-569
T-1070,2026-07-05,Webcam,Electronics,West,Online,1,3500.00,3500.00,"Credit Card",C-570
T-1071,2026-07-06,"Pillow Covers","Home Decor",East,Offline,3,250.00,750.00,Cash,C-571
T-1072,2026-07-06,"Casual Shoes",Footwear,South,Online,1,2500.00,2500.00,"Net Banking",C-572
T-1073,2026-07-07,Wallet,Accessories,North,Online,1,900.00,900.00,UPI,C-573
T-1074,2026-07-07,T-Shirt,Apparel,West,Offline,2,550.00,1100.00,"Credit Card",C-574
T-1075,2026-07-08,Mouse,Electronics,East,Online,1,700.00,700.00,"Net Banking",C-575
T-1076,2026-07-08,Shorts,Apparel,South,Offline,1,800.00,800.00,Cash,C-576
T-1077,2026-07-09,"Wall Clock","Home Decor",North,Online,1,1200.00,1200.00,UPI,C-577
T-1078,2026-07-09,Watch,Accessories,West,Offline,1,4200.00,4200.00,"Credit Card",C-578
T-1079,2026-07-10,"Bluetooth Speaker",Electronics,East,Online,1,2500.00,2500.00,"Net Banking",C-579
T-1080,2026-07-10,Slipper,Footwear,South,Offline,2,350.00,700.00,Cash,C-580
T-1081,2026-07-11,"Laptop Sleeve",Accessories,North,Online,1,800.00,800.00,UPI,C-581
T-1082,2026-07-11,Jeans,Apparel,West,Offline,1,1800.00,1800.00,Cash,C-582
T-1083,2026-07-12,"Coffee Mug","Home Decor",East,Online,2,300.00,600.00,"Credit Card",C-583
T-1084,2026-07-12,"Fitness Tracker",Electronics,South,Offline,1,3200.00,3200.00,"Net Banking",C-584
T-1085,2026-07-13,T-Shirt,Apparel,North,Online,3,500.00,1500.00,UPI,C-585
T-1086,2026-07-13,"Desk Lamp","Home Decor",West,Online,1,1500.00,1500.00,"Credit Card",C-586
T-1087,2026-07-14,Sunglasses,Accessories,East,Offline,1,2500.00,2500.00,Cash,C-587
T-1088,2026-07-14,"Formal Shoes",Footwear,South,Online,1,4000.00,4000.00,"Net Banking",C-588
T-1089,2026-07-15,"Power Bank",Electronics,North,Offline,1,2000.00,2000.00,UPI,C-589
T-1090,2026-07-15,Jacket,Apparel,West,Online,1,3000.00,3000.00,"Credit Card",C-590
T-1091,2026-07-16,Pillow,"Home Decor",East,Offline,2,600.00,1200.00,Cash,C-591
T-1092,2026-07-16,Sandals,Footwear,South,Online,1,1200.00,1200.00,"Net Banking",C-592
T-1093,2026-07-17,Belt,Accessories,North,Online,1,600.00,600.00,UPI,C-593
T-1094,2026-07-17,Kurta,Apparel,West,Offline,1,1800.00,1800.00,"Credit Card",C-594
T-1095,2026-07-18,"Bluetooth Mouse",Electronics,East,Online,1,900.00,900.00,"Net Banking",C-595
T-1096,2026-07-18,Cap,Accessories,South,Offline,2,250.00,500.00,Cash,C-596
T-1097,2026-07-19,"Wall Clock","Home Decor",North,Online,1,1400.00,1400.00,UPI,C-597
T-1098,2026-07-19,Sneakers,Footwear,West,Offline,1,3200.00,3200.00,"Credit Card",C-598
T-1099,2026-07-20,Tablet,Electronics,East,Online,1,18000.00,18000.00,"Net Banking",C-599
T-1100,2026-07-20,Socks,Apparel,South,Offline,5,100.00,500.00,Cash,C-600
T-1101,2026-07-21,Earphones,Electronics,North,Online,1,1200.00,1200.00,UPI,C-601
T-1102,2026-07-21,Shorts,Apparel,West,Offline,2,800.00,1600.00,Cash,C-602
T-1103,2026-07-22,"Table Lamp","Home Decor",East,Online,1,1300.00,1300.00,"Credit Card",C-603
T-1104,2026-07-22,Wallet,Accessories,South,Offline,1,700.00,700.00,"Net Banking",C-604
T-1105,2026-07-23,"Smart Watch",Electronics,North,Online,1,5500.00,5500.00,UPI,C-605
T-1106,2026-07-23,"Formal Shirt",Apparel,West,Online,1,1400.00,1400.00,"Credit Card",C-606
T-1107,2026-07-24,"Pressure Cooker","Home Decor",East,Offline,1,3200.00,3200.00,Cash,C-607
T-1108,2026-07-24,"Sports Shoes",Footwear,South,Online,1,3500.00,3500.00,"Net Banking",C-608
T-1109,2026-07-25,"Power Bank",Electronics,North,Offline,1,2200.00,2200.00,UPI,C-609
T-1110,2026-07-25,Jacket,Apparel,West,Online,1,3500.00,3500.00,"Credit Card",C-610
T-1111,2026-07-26,Pillow,"Home Decor",East,Offline,2,500.00,1000.00,Cash,C-611
T-1112,2026-07-26,Slipper,Footwear,South,Online,2,400.00,800.00,"Net Banking",C-612
T-1113,2026-07-27,Belt,Accessories,North,Online,1,500.00,500.00,UPI,C-613
T-1114,2026-07-27,Trousers,Apparel,West,Offline,1,1600.00,1600.00,"Credit Card",C-614
T-1115,2026-07-28,Keyboard,Electronics,East,Online,1,1200.00,1200.00,"Net Banking",C-615
T-1116,2026-07-28,Cap,Accessories,South,Offline,3,200.00,600.00,Cash,C-616
T-1117,2026-07-29,"Wall Clock","Home Decor",North,Online,1,1100.00,1100.00,UPI,C-617
T-1118,2026-07-29,"Casual Shoes",Footwear,West,Offline,1,2800.00,2800.00,"Credit Card",C-618
T-1119,2026-07-30,Headphones,Electronics,East,Online,1,2600.00,2600.00,"Net Banking",C-619
T-1120,2026-07-30,Socks,Apparel,South,Offline,4,120.00,480.00,Cash,C-620
T-1121,2026-07-21,Mixer,"Home Decor",North,Online,1,3500.00,3500.00,UPI,C-621
T-1122,2026-07-21,Socks,Apparel,West,Offline,3,100.00,300.00,Cash,C-622
T-1123,2026-07-22,Mouse,Electronics,East,Online,1,800.00,800.00,"Credit Card",C-623
T-1124,2026-07-22,Wallet,Accessories,South,Offline,1,950.00,950.00,"Net Banking",C-624
T-1125,2026-07-23,Monitor,Electronics,North,Online,1,12500.00,12500.00,UPI,C-625
T-1126,2026-07-23,"Formal Pants",Apparel,West,Online,1,1800.00,1800.00,"Credit Card",C-626
T-1127,2026-07-24,Iron,"Home Decor",East,Offline,1,2600.00,2600.00,Cash,C-627
T-1128,2026-07-24,"Running Shoes",Footwear,South,Online,1,3900.00,3900.00,"Net Banking",C-628
T-1129,2026-07-25,Earbuds,Electronics,North,Offline,1,2900.00,2900.00,UPI,C-629
T-1130,2026-07-25,Jacket,Apparel,West,Online,1,3200.00,3200.00,"Credit Card",C-630
T-1131,2026-07-26,Cushion,"Home Decor",East,Offline,2,400.00,800.00,Cash,C-631
T-1132,2026-07-26,Sandals,Footwear,South,Online,1,1100.00,1100.00,"Net Banking",C-632
T-1133,2026-07-27,Belt,Accessories,North,Online,1,550.00,550.00,UPI,C-633
T-1134,2026-07-27,Kurta,Apparel,West,Offline,1,1700.00,1700.00,"Credit Card",C-634
T-1135,2026-07-28,Cable,Electronics,East,Online,3,300.00,900.00,"Net Banking",C-635
T-1136,2026-07-28,Cap,Accessories,South,Offline,2,250.00,500.00,Cash,C-636
T-1137,2026-07-29,Blender,"Home Decor",North,Online,1,3800.00,3800.00,UPI,C-637
T-1138,2026-07-29,Sneakers,Footwear,West,Offline,1,3500.00,3500.00,"Credit Card",C-638
T-1139,2026-07-30,Monitor,Electronics,East,Online,1,14000.00,14000.00,"Net Banking",C-639
T-1140,2026-07-30,T-Shirt,Apparel,South,Offline,2,650.00,1300.00,Cash,C-640
T-1141,2026-07-01,"Smart Watch",Electronics,North,Online,1,4800.00,4800.00,UPI,C-641
T-1142,2026-07-01,"Formal Shirt",Apparel,West,Offline,1,1300.00,1300.00,Cash,C-642
T-1143,2026-07-02,"Pressure Cooker","Home Decor",East,Online,1,3100.00,3100.00,"Credit Card",C-643
T-1144,2026-07-02,Sunglasses,Accessories,South,Offline,1,2100.00,2100.00,"Net Banking",C-644
T-1145,2026-07-03,"Sports Shoes",Footwear,North,Online,1,3200.00,3200.00,UPI,C-645
T-1146,2026-07-03,Jacket,Apparel,West,Online,1,3300.00,3300.00,"Credit Card",C-646
T-1147,2026-07-04,Pillow,"Home Decor",East,Offline,2,450.00,900.00,Cash,C-647
T-1148,2026-07-04,Slipper,Footwear,South,Online,2,350.00,700.00,"Net Banking",C-648
T-1149,2026-07-05,Belt,Accessories,North,Offline,1,450.00,450.00,UPI,C-649
T-1150,2026-07-05,Trousers,Apparel,West,Online,1,1500.00,1500.00,"Credit Card",C-650
T-1151,2026-07-06,Keyboard,Electronics,East,Offline,1,1100.00,1100.00,Cash,C-651
T-1152,2026-07-06,Cap,Accessories,South,Online,2,250.00,500.00,"Net Banking",C-652
T-1153,2026-07-07,"Wall Clock","Home Decor",North,Online,1,1200.00,1200.00,UPI,C-653
T-1154,2026-07-07,"Casual Shoes",Footwear,West,Offline,1,2600.00,2600.00,"Credit Card",C-654
T-1155,2026-07-08,Headphones,Electronics,East,Online,1,2700.00,2700.00,"Net Banking",C-655
T-1156,2026-07-08,Socks,Apparel,South,Offline,3,110.00,330.00,Cash,C-656
T-1157,2026-07-09,Blender,"Home Decor",North,Online,1,3600.00,3600.00,UPI,C-657
T-1158,2026-07-09,Sneakers,Footwear,West,Offline,1,3300.00,3300.00,"Credit Card",C-658
T-1159,2026-07-10,Monitor,Electronics,East,Online,1,13500.00,13500.00,"Net Banking",C-659
T-1160,2026-07-10,T-Shirt,Apparel,South,Offline,2,700.00,1400.00,Cash,C-660
T-1161,2026-07-11,"Laptop Sleeve",Accessories,North,Online,1,850.00,850.00,UPI,C-661
T-1162,2026-07-11,Jeans,Apparel,West,Offline,1,1900.00,1900.00,Cash,C-662
T-1163,2026-07-12,"Coffee Mug","Home Decor",East,Online,3,350.00,1050.00,"Credit Card",C-663
T-1164,2026-07-12,"Fitness Tracker",Electronics,South,Offline,1,3300.00,3300.00,"Net Banking",C-664
T-1165,2026-07-13,T-Shirt,Apparel,North,Online,2,550.00,1100.00,UPI,C-665
T-1166,2026-07-13,"Desk Lamp","Home Decor",West,Online,1,1600.00,1600.00,"Credit Card",C-666
T-1167,2026-07-14,Sunglasses,Accessories,East,Offline,1,2600.00,2600.00,Cash,C-667
T-1168,2026-07-14,"Formal Shoes",Footwear,South,Online,1,4200.00,4200.00,"Net Banking",C-668
T-1169,2026-07-15,"Power Bank",Electronics,North,Offline,1,2100.00,2100.00,UPI,C-669
T-1170,2026-07-15,Jacket,Apparel,West,Online,1,3200.00,3200.00,"Credit Card",C-670
T-1171,2026-07-16,Pillow,"Home Decor",East,Offline,2,650.00,1300.00,Cash,C-671
T-1172,2026-07-16,Sandals,Footwear,South,Online,1,1300.00,1300.00,"Net Banking",C-672
T-1173,2026-07-17,Belt,Accessories,North,Online,1,650.00,650.00,UPI,C-673
T-1174,2026-07-17,Kurta,Apparel,West,Offline,1,1900.00,1900.00,"Credit Card",C-674
T-1175,2026-07-18,"Bluetooth Mouse",Electronics,East,Online,1,950.00,950.00,"Net Banking",C-675
T-1176,2026-07-18,Cap,Accessories,South,Offline,2,300.00,600.00,Cash,C-676
T-1177,2026-07-19,"Wall Clock","Home Decor",North,Online,1,1500.00,1500.00,UPI,C-677
T-1178,2026-07-19,Sneakers,Footwear,West,Offline,1,3400.00,3400.00,"Credit Card",C-678
T-1179,2026-07-20,Tablet,Electronics,East,Online,1,19000.00,19000.00,"Net Banking",C-679
T-1180,2026-07-20,Socks,Apparel,South,Offline,5,120.00,600.00,Cash,C-680
T-1181,2026-07-21,Earphones,Electronics,North,Online,1,1300.00,1300.00,UPI,C-681
T-1182,2026-07-21,Shorts,Apparel,West,Offline,2,850.00,1700.00,Cash,C-682
T-1183,2026-07-22,"Table Lamp","Home Decor",East,Online,1,1400.00,1400.00,"Credit Card",C-683
T-1184,2026-07-22,Wallet,Accessories,South,Offline,1,750.00,750.00,"Net Banking",C-684
T-1185,2026-07-23,"Smart Watch",Electronics,North,Online,1,5800.00,5800.00,UPI,C-685
T-1186,2026-07-23,"Formal Shirt",Apparel,West,Online,1,1500.00,1500.00,"Credit Card",C-686
T-1187,2026-07-24,"Pressure Cooker","Home Decor",East,Offline,1,3300.00,3300.00,Cash,C-687
T-1188,2026-07-24,"Sports Shoes",Footwear,South,Online,1,3600.00,3600.00,"Net Banking",C-688
T-1189,2026-07-25,"Power Bank",Electronics,North,Offline,1,2300.00,2300.00,UPI,C-689
T-1190,2026-07-25,Jacket,Apparel,West,Online,1,3600.00,3600.00,"Credit Card",C-690
T-1191,2026-07-26,Pillow,"Home Decor",East,Offline,2,550.00,1100.00,Cash,C-691
T-1192,2026-07-26,Slipper,Footwear,South,Online,2,450.00,900.00,"Net Banking",C-692
T-1193,2026-07-27,Belt,Accessories,North,Online,1,550.00,550.00,UPI,C-693
T-1194,2026-07-27,Trousers,Apparel,West,Offline,1,1700.00,1700.00,"Credit Card",C-694
T-1195,2026-07-28,Keyboard,Electronics,East,Online,1,1300.00,1300.00,"Net Banking",C-695
T-1196,2026-07-28,Cap,Accessories,South,Offline,3,250.00,750.00,Cash,C-696
T-1197,2026-07-29,"Wall Clock","Home Decor",North,Online,1,1200.00,1200.00,UPI,C-697
T-1198,2026-07-29,"Casual Shoes",Footwear,West,Offline,1,2900.00,2900.00,"Credit Card",C-698
T-1199,2026-07-30,Headphones,Electronics,East,Online,1,2800.00,2800.00,"Net Banking",C-699
T-1200,2026-07-30,Socks,Apparel,South,Offline,4,150.00,600.00,Cash,C-700
